Source,Target,Weight,Type
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Gräfin von Thal,27,undirected
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Melanie,42,undirected
F_Das Waldfräulein_Claudine,F_Die Selbstsüchtigen_Emma,7,undirected
F_Das Waldfräulein_Claudine,F_Ohne Liebe_Elise,1,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Hector Berg,8,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Lazáry,5,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Turnau,4,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Das Waldfräulein_Gräfin von Thal,12,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Die Selbstsüchtigen_Gräfin Mathilde,30,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Ohne Liebe_Gräfin Laßwitz,2,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Paul,4,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Robert,1,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Die Selbstsüchtigen_Graf Steinberg,19,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Männertreue_Domenico Maripetro,1,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Claudine,27,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Gräfin Nordheim,12,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Die Selbstsüchtigen_Gräfin Mathilde,4,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Emma,14,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Gräfin Laßwitz,13,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Graf Lazáry,2,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Paul,4,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Robert,7,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Claudine,42,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Sarah,6,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Fürst Limburg,14,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Hochburg,5,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Turnau,2,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Robert,37,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Baron Rathhausen,1,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Graf Ahlfeld,1,undirected
F_Das Waldfräulein_Melanie,M_Männertreue_Girolamo Bembo,3,undirected
F_Das Waldfräulein_Melanie,M_Männertreue_Orso,1,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Melanie,6,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Therese,12,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Emma,47,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Gräfin Mathilde,2,undirected
F_Das Waldfräulein_Sarah,F_Männertreue_Lucia,4,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hector Berg,1,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hochburg,8,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Paul,37,undirected
F_Das Waldfräulein_Sarah,M_Die Selbstsüchtigen_Graf Steinberg,1,undirected
F_Das Waldfräulein_Therese,F_Das Waldfräulein_Sarah,12,undirected
F_Das Waldfräulein_Therese,F_Die Selbstsüchtigen_Gräfin Mathilde,2,undirected
F_Das Waldfräulein_Therese,F_Männertreue_Lucia,1,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Franz,6,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hector Berg,6,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hochburg,47,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Kurt,9,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Paul,13,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Robert,8,undirected
F_Das Waldfräulein_Therese,M_Die Selbstsüchtigen_Gabriel,1,undirected
F_Das Waldfräulein_Therese,M_Die Veilchen_Graf Sigmund Andlau,1,undirected
F_Das Waldfräulein_Therese,M_Ohne Liebe_Graf Marko Laßwitz,1,undirected
F_Die Selbstsüchtigen_Emma,F_Das Waldfräulein_Claudine,7,undirected
