Source,Target,Weight,Type
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Gräfin von Thal,8,undirected
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Melanie,14,undirected
F_Das Waldfräulein_Claudine,F_Die Selbstsüchtigen_Emma,7,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Hector Berg,2,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Lazáry,5,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Turnau,4,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Die Selbstsüchtigen_Gräfin Mathilde,18,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Ohne Liebe_Gräfin Laßwitz,2,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Paul,4,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Die Selbstsüchtigen_Graf Steinberg,8,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Männertreue_Domenico Maripetro,1,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Claudine,8,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Die Selbstsüchtigen_Gräfin Mathilde,4,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Emma,9,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Gräfin Laßwitz,13,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Graf Lazáry,2,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Paul,3,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Claudine,14,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Sarah,6,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Hochburg,5,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Turnau,2,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Robert,19,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Baron Rathhausen,1,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Graf Ahlfeld,1,undirected
F_Das Waldfräulein_Melanie,M_Männertreue_Girolamo Bembo,3,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Melanie,6,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Therese,6,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Emma,27,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Gräfin Mathilde,2,undirected
F_Das Waldfräulein_Sarah,F_Männertreue_Lucia,4,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hector Berg,1,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hochburg,7,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Paul,10,undirected
F_Das Waldfräulein_Therese,F_Das Waldfräulein_Sarah,6,undirected
F_Das Waldfräulein_Therese,F_Männertreue_Lucia,1,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hector Berg,1,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hochburg,23,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Kurt,3,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Paul,1,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Robert,7,undirected
F_Das Waldfräulein_Therese,M_Die Veilchen_Graf Sigmund Andlau,1,undirected
F_Das Waldfräulein_Therese,M_Ohne Liebe_Graf Marko Laßwitz,1,undirected
F_Die Selbstsüchtigen_Emma,F_Das Waldfräulein_Claudine,7,undirected
F_Die Selbstsüchtigen_Emma,F_Das Waldfräulein_Sarah,27,undirected
F_Die Selbstsüchtigen_Emma,F_Die Veilchen_Gräfin Franziska Andlau,18,undirected
F_Die Selbstsüchtigen_Emma,F_Ohne Liebe_Emma,1,undirected
F_Die Selbstsüchtigen_Emma,M_Das Waldfräulein_Paul,7,undirected
F_Die Selbstsüchtigen_Emma,M_Die Selbstsüchtigen_Gabriel,10,undirected
F_Die Selbstsüchtigen_Emma,M_Die Selbstsüchtigen_Graf Steinberg,1,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,F_Das Waldfräulein_Gräfin Nordheim,18,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,F_Das Waldfräulein_Gräfin von Thal,4,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,F_Das Waldfräulein_Sarah,2,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,F_Die Veilchen_Gräfin Platen,4,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,F_Ohne Liebe_Gräfin Laßwitz,3,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,M_Das Waldfräulein_Paul,8,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,M_Die Selbstsüchtigen_Gabriel,23,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,M_Die Selbstsüchtigen_Graf Steinberg,18,undirected
F_Die Selbstsüchtigen_Gräfin Mathilde,M_Ohne Liebe_Graf Marko Laßwitz,1,undirected
F_Die Veilchen_Baronin Auguste Wolf,F_Die Veilchen_Gräfin Julie Neuberg,3,undirected
F_Die Veilchen_Baronin Auguste Wolf,F_Die Veilchen_Gräfin Platen,2,undirected
F_Die Veilchen_Baronin Auguste Wolf,M_Die Selbstsüchtigen_Gabriel,1,undirected
F_Die Veilchen_Baronin Auguste Wolf,M_Die Veilchen_Baron Rathhausen,26,undirected
F_Die Veilchen_Baronin Auguste Wolf,M_Die Veilchen_Graf Sigmund Andlau,22,undirected
F_Die Veilchen_Baronin Auguste Wolf,M_Ohne Liebe_Graf Marko Laßwitz,3,undirected
F_Die Veilchen_Gräfin Franziska Andlau,F_Die Selbstsüchtigen_Emma,18,undirected
F_Die Veilchen_Gräfin Franziska Andlau,F_Die Veilchen_Gräfin Julie Neuberg,1,undirected
F_Die Veilchen_Gräfin Franziska Andlau,F_Die Veilchen_Gräfin Platen,8,undirected
F_Die Veilchen_Gräfin Franziska Andlau,F_Ohne Liebe_Emma,5,undirected
F_Die Veilchen_Gräfin Franziska Andlau,M_Das Waldfräulein_Graf Hector Berg,1,undirected
F_Die Veilchen_Gräfin Franziska Andlau,M_Das Waldfräulein_Kurt,2,undirected
F_Die Veilchen_Gräfin Franziska Andlau,M_Die Selbstsüchtigen_Graf Steinberg,1,undirected
