Source,Target,Weight,Type
Female_Ghismonda Mora_1,Female_Isotta_1,3,undirected
Female_Ghismonda Mora_1,Female_Lucia_1,5,undirected
Female_Ghismonda Mora_1,Female_Lucia_2,4,undirected
Female_Ghismonda Mora_4,Female_Isotta_1,2,undirected
Female_Ghismonda Mora_4,Female_Isotta_2,6,undirected
Female_Ghismonda Mora_4,Male_Orso_3,1,undirected
Female_Isotta_1,Female_Ghismonda Mora_1,3,undirected
Female_Isotta_1,Female_Ghismonda Mora_4,2,undirected
Female_Isotta_1,Male_Anselmo Barbadico_1,3,undirected
Female_Isotta_1,Male_Girolamo Bembo_1,4,undirected
Female_Isotta_2,Female_Ghismonda Mora_4,6,undirected
Female_Isotta_2,Male_Nicolo Foscari_2,2,undirected
Female_Isotta_2,Male_Orso_3,1,undirected
Female_Isotta_4,Male_Anselmo Barbadico_3,5,undirected
Female_Isotta_4,Male_Girolamo Bembo_3,4,undirected
Female_Isotta_4,Male_Girolamo Bembo_4,3,undirected
Female_Lucia_1,Female_Ghismonda Mora_1,5,undirected
Female_Lucia_1,Female_Lucia_4,3,undirected
Female_Lucia_1,Male_Anselmo Barbadico_1,2,undirected
Female_Lucia_1,Male_Girolamo Bembo_1,6,undirected
Female_Lucia_1,Male_Nicolo Foscari_1,2,undirected
Female_Lucia_1,Male_Nicolo Foscari_2,2,undirected
Female_Lucia_2,Female_Ghismonda Mora_1,4,undirected
Female_Lucia_2,Male_Nicolo Foscari_1,2,undirected
Female_Lucia_2,Male_Nicolo Foscari_3,4,undirected
Female_Lucia_4,Female_Lucia_1,3,undirected
Female_Lucia_4,Male_Anselmo Barbadico_1,2,undirected
Female_Lucia_4,Male_Anselmo Barbadico_4,1,undirected
Female_Lucia_4,Male_Nicolo Foscari_4,1,undirected
Male_Anselmo Barbadico_1,Female_Isotta_1,3,undirected
Male_Anselmo Barbadico_1,Female_Lucia_1,2,undirected
Male_Anselmo Barbadico_1,Female_Lucia_4,2,undirected
Male_Anselmo Barbadico_1,Male_Anselmo Barbadico_4,5,undirected
Male_Anselmo Barbadico_1,Male_Domenico Maripetro_3,2,undirected
Male_Anselmo Barbadico_1,Male_Nicolo Foscari_1,6,undirected
Male_Anselmo Barbadico_2,Male_Girolamo Bembo_2,3,undirected
Male_Anselmo Barbadico_2,Male_Girolamo Bembo_4,2,undirected
Male_Anselmo Barbadico_2,Male_Nicolo Foscari_1,1,undirected
Male_Anselmo Barbadico_3,Female_Isotta_4,5,undirected
Male_Anselmo Barbadico_3,Male_Girolamo Bembo_2,4,undirected
Male_Anselmo Barbadico_3,Male_Girolamo Bembo_3,1,undirected
Male_Anselmo Barbadico_3,Male_Nicolo Foscari_2,1,undirected
Male_Anselmo Barbadico_3,Male_Nicolo Foscari_4,2,undirected
Male_Anselmo Barbadico_3,Male_Orso_3,1,undirected
Male_Anselmo Barbadico_4,Female_Lucia_4,1,undirected
Male_Anselmo Barbadico_4,Male_Anselmo Barbadico_1,5,undirected
Male_Anselmo Barbadico_4,Male_Domenico Maripetro_3,5,undirected
Male_Anselmo Barbadico_4,Male_Girolamo Bembo_2,1,undirected
Male_Anselmo Barbadico_4,Male_Nicolo Foscari_1,2,undirected
Male_Der Doge (Foscari)_3,Male_Der Doge (Foscari)_4,2,undirected
Male_Der Doge (Foscari)_3,Male_Orso_2,5,undirected
Male_Der Doge (Foscari)_3,Male_Orso_3,3,undirected
Male_Der Doge (Foscari)_4,Male_Der Doge (Foscari)_3,2,undirected
Male_Der Doge (Foscari)_4,Male_Domenico Maripetro_2,3,undirected
Male_Der Doge (Foscari)_4,Male_Domenico Maripetro_4,4,undirected
Male_Der Doge (Foscari)_4,Male_Orso_2,4,undirected
Male_Domenico Maripetro_2,Male_Der Doge (Foscari)_4,3,undirected
Male_Domenico Maripetro_2,Male_Domenico Maripetro_3,1,undirected
Male_Domenico Maripetro_2,Male_Domenico Maripetro_4,1,undirected
Male_Domenico Maripetro_2,Male_Nicolo Foscari_3,2,undirected
Male_Domenico Maripetro_2,Male_Orso_2,6,undirected
Male_Domenico Maripetro_2,Male_Orso_3,5,undirected
Male_Domenico Maripetro_3,Male_Anselmo Barbadico_1,2,undirected
Male_Domenico Maripetro_3,Male_Anselmo Barbadico_4,5,undirected
Male_Domenico Maripetro_3,Male_Domenico Maripetro_2,1,undirected
Male_Domenico Maripetro_4,Male_Der Doge (Foscari)_4,4,undirected
Male_Domenico Maripetro_4,Male_Domenico Maripetro_2,1,undirected
Male_Domenico Maripetro_4,Male_Girolamo Bembo_3,4,undirected
Male_Girolamo Bembo_1,Female_Isotta_1,4,undirected
Male_Girolamo Bembo_1,Female_Lucia_1,6,undirected
Male_Girolamo Bembo_1,Male_Girolamo Bembo_2,4,undirected
Male_Girolamo Bembo_2,Male_Anselmo Barbadico_2,3,undirected
Male_Girolamo Bembo_2,Male_Anselmo Barbadico_3,4,undirected
Male_Girolamo Bembo_2,Male_Anselmo Barbadico_4,1,undirected
Male_Girolamo Bembo_2,Male_Girolamo Bembo_1,4,undirected
Male_Girolamo Bembo_3,Female_Isotta_4,4,undirected
